Postcode;Plaatsnaam;Deelgemeente;Provincie
1785;Hamme;Ja;Vlaams-Brabant
1785;MERCHTEM;Neen;Vlaams-Brabant
1790;AFFLIGEM;Neen;Vlaams-Brabant
1790;Essene;Ja;Vlaams-Brabant
1790;Hekelgem;Ja;Vlaams-Brabant
1790;Teralfene;Ja;Vlaams-Brabant
1800;Peutie;Ja;Vlaams-Brabant
1800;VILVOORDE;Neen;Vlaams-Brabant
1804;Cargovil;;
1818;VTM;;
1820;Melsbroek;Ja;Vlaams-Brabant
1820;Perk;Ja;Vlaams-Brabant
1820;STEENOKKERZEEL;Neen;Vlaams-Brabant
1830;MACHELEN;Neen;Vlaams-Brabant
1831;Diegem;Ja;Vlaams-Brabant
1840;LONDERZEEL;Neen;Vlaams-Brabant
1840;Malderen;Ja;Vlaams-Brabant
1840;Steenhuffel;Ja;Vlaams-Brabant
1850;GRIMBERGEN;Neen;Vlaams-Brabant
1851;Humbeek;Ja;Vlaams-Brabant
1852;Beigem;Ja;Vlaams-Brabant
1853;Strombeek-Bever;Ja;Vlaams-Brabant
1860;MEISE;Neen;Vlaams-Brabant
1861;Wolvertem;Ja;Vlaams-Brabant
1880;KAPELLE-OP-DEN-BOS;Neen;Vlaams-Brabant
1880;Nieuwenrode;Ja;Vlaams-Brabant
1880;Ramsdonk;Ja;Vlaams-Brabant
1910;Berg;Ja;Vlaams-Brabant
1910;Buken;Ja;Vlaams-Brabant
1910;KAMPENHOUT;Neen;Vlaams-Brabant
1910;Nederokkerzeel;Ja;Vlaams-Brabant
1930;Nossegem;Ja;Vlaams-Brabant
1930;ZAVENTEM;Neen;Vlaams-Brabant
1931;Brucargo;;
1932;Sint-Stevens-Woluwe;Ja;Vlaams-Brabant
1933;Sterrebeek;Ja;Vlaams-Brabant
1934;Office Exchange Brussels Airpor Remailing;;
1935;Corporate Village;;
1950;KRAAINEM;Neen;Vlaams-Brabant
1970;WEZEMBEEK-OPPEM;Neen;Vlaams-Brabant
1980;Eppegem;Ja;Vlaams-Brabant
1980;ZEMST;Neen;Vlaams-Brabant
1981;Hofstade;Ja;Vlaams-Brabant
